order,cycle,lane,pc,instruction,rd_write,rd_fp,rd,wdata,trap,cause,tval
0,17,0,00001000,800002b7,1,0,5,80000000,0,0,00000000
1,19,0,00001004,30529073,0,0,0,00000000,0,0,00000000
2,23,0,00001008,00800293,1,0,5,00000008,0,0,00000000
3,25,0,0000100c,30429073,0,0,0,00000000,0,0,00000000
4,30,0,00001010,3002a073,0,0,0,00000000,0,0,00000000
5,32,0,00001014,10500073,0,0,0,00000000,0,0,00000000
6,271,0,00001018,00000000,0,0,0,00000000,1,3,00000000
7,277,0,80000000,002002b7,1,0,5,00200000,0,0,00000000
8,279,0,80000004,0002a023,0,0,0,00000000,0,0,00000000
9,279,1,80000008,00040117,1,0,2,80040008,0,0,00000000
10,280,0,8000000c,fe810113,1,0,2,8003fff0,0,0,00000000
11,280,1,80000010,00002809,1,0,1,80000012,0,0,00000000
12,282,0,80000022,00004681,1,0,13,00000000,0,0,00000000
13,284,0,80000024,f0000753,1,1,14,00000000,0,0,00000000
14,284,1,80000028,00004581,1,0,11,00000000,0,0,00000000
15,285,0,8000002a,00020e17,1,0,28,8002002a,0,0,00000000
16,285,1,8000002e,ff6e0e13,1,0,28,80020020,0,0,00000000
17,286,0,80000032,00020317,1,0,6,80020032,0,0,00000000
18,286,1,80000036,04230313,1,0,6,80020074,0,0,00000000
19,287,0,8000003a,00020897,1,0,17,8002003a,0,0,00000000
20,287,1,8000003e,fc688893,1,0,17,80020000,0,0,00000000
21,288,0,80000042,00000797,1,0,15,80000042,0,0,00000000
22,294,0,80000046,1527a607,1,1,12,3fc00000,0,0,00000000
23,294,1,8000004a,00020817,1,0,16,8002004a,0,0,00000000
24,295,0,8000004e,00a80813,1,0,16,80020054,0,0,00000000
25,295,1,80000052,00004521,1,0,10,00000008,0,0,00000000
26,296,0,80000054,00269793,1,0,15,00000000,0,0,00000000
27,296,1,80000058,000097f2,1,0,15,80020020,0,0,00000000
28,297,0,8000005a,00004398,1,0,14,00000003,0,0,00000000
29,297,1,8000005c,000087b6,1,0,15,00000000,0,0,00000000
30,299,0,8000005e,00000685,1,0,13,00000001,0,0,00000000
31,299,1,80000060,02e68733,1,0,14,00000003,0,0,00000000
32,300,0,80000064,00000715,1,0,14,00000008,0,0,00000000
33,300,1,80000066,0000078a,1,0,15,00000000,0,0,00000000
34,301,0,80000068,00f30633,1,0,12,80020074,0,0,00000000
35,302,0,8000006c,0000c218,0,0,0,00000000,0,0,00000000
36,303,0,8000006e,00004210,1,0,12,00000008,0,0,00000000
37,303,1,80000070,000095b2,1,0,11,00000008,0,0,00000000
38,304,0,80000072,00f88633,1,0,12,80020000,0,0,00000000
39,305,0,80000076,0000621c,1,1,15,3f000000,0,0,00000000
40,306,0,80000078,10c7f7d3,1,1,15,3f400000,0,0,00000000
41,306,1,8000007c,d00776d3,1,1,13,41000000,0,0,00000000
42,309,0,80000080,00d7f7d3,1,1,15,410c0000,0,0,00000000
43,309,1,80000084,000097c2,1,0,15,80020054,0,0,00000000
44,310,0,80000086,0000e39c,0,0,0,00000000,0,0,00000000
45,311,0,80000088,0000639c,1,1,15,410c0000,0,0,00000000
46,314,0,8000008a,00f77753,1,1,14,410c0000,0,0,00000000
47,314,1,8000008e,fca693e3,0,0,7,00000000,0,0,00000000
48,315,0,80000054,00269793,1,0,15,00000004,0,0,00000000
49,315,1,80000058,000097f2,1,0,15,80020024,0,0,00000000
50,316,0,8000005a,00004398,1,0,14,fffffffe,0,0,00000000
51,316,1,8000005c,000087b6,1,0,15,00000001,0,0,00000000
52,317,0,8000005e,00000685,1,0,13,00000002,0,0,00000000
53,317,1,80000060,02e68733,1,0,14,fffffffc,0,0,00000000
54,318,0,80000064,00000715,1,0,14,00000001,0,0,00000000
55,318,1,80000066,0000078a,1,0,15,00000004,0,0,00000000
56,319,0,80000068,00f30633,1,0,12,80020078,0,0,00000000
57,320,0,8000006c,0000c218,0,0,0,00000000,0,0,00000000
58,321,0,8000006e,00004210,1,0,12,00000001,0,0,00000000
59,321,1,80000070,000095b2,1,0,11,00000009,0,0,00000000
60,322,0,80000072,00f88633,1,0,12,80020004,0,0,00000000
61,323,0,80000076,0000621c,1,1,15,3f800000,0,0,00000000
62,323,1,80000078,10c7f7d3,1,1,15,3fc00000,0,0,00000000
63,324,0,8000007c,d00776d3,1,1,13,3f800000,0,0,00000000
64,325,0,80000080,00d7f7d3,1,1,15,40200000,0,0,00000000
65,325,1,80000084,000097c2,1,0,15,80020058,0,0,00000000
66,326,0,80000086,0000e39c,0,0,0,00000000,0,0,00000000
67,327,0,80000088,0000639c,1,1,15,40200000,0,0,00000000
68,331,0,8000008a,00f77753,1,1,14,41340000,0,0,00000000
69,331,1,8000008e,fca693e3,0,0,7,00000000,0,0,00000000
70,332,0,80000054,00269793,1,0,15,00000008,0,0,00000000
71,332,1,80000058,000097f2,1,0,15,80020028,0,0,00000000
72,333,0,8000005a,00004398,1,0,14,00000007,0,0,00000000
73,333,1,8000005c,000087b6,1,0,15,00000002,0,0,00000000
74,334,0,8000005e,00000685,1,0,13,00000003,0,0,00000000
75,334,1,80000060,02e68733,1,0,14,00000015,0,0,00000000
76,335,0,80000064,00000715,1,0,14,0000001a,0,0,00000000
77,335,1,80000066,0000078a,1,0,15,00000008,0,0,00000000
78,336,0,80000068,00f30633,1,0,12,8002007c,0,0,00000000
79,337,0,8000006c,0000c218,0,0,0,00000000,0,0,00000000
80,338,0,8000006e,00004210,1,0,12,0000001a,0,0,00000000
81,338,1,80000070,000095b2,1,0,11,00000023,0,0,00000000
82,339,0,80000072,00f88633,1,0,12,80020008,0,0,00000000
83,340,0,80000076,0000621c,1,1,15,3fc00000,0,0,00000000
84,340,1,80000078,10c7f7d3,1,1,15,40100000,0,0,00000000
85,341,0,8000007c,d00776d3,1,1,13,41d00000,0,0,00000000
86,341,1,80000080,00d7f7d3,1,1,15,41e20000,0,0,00000000
87,342,0,80000084,000097c2,1,0,15,8002005c,0,0,00000000
88,344,0,80000086,0000e39c,0,0,0,00000000,0,0,00000000
89,345,0,80000088,0000639c,1,1,15,41e20000,0,0,00000000
90,347,0,8000008a,00f77753,1,1,14,421e0000,0,0,00000000
91,347,1,8000008e,fca693e3,0,0,7,00000000,0,0,00000000
92,348,0,80000054,00269793,1,0,15,0000000c,0,0,00000000
93,348,1,80000058,000097f2,1,0,15,8002002c,0,0,00000000
94,349,0,8000005a,00004398,1,0,14,00000004,0,0,00000000
95,349,1,8000005c,000087b6,1,0,15,00000003,0,0,00000000
96,350,0,8000005e,00000685,1,0,13,00000004,0,0,00000000
97,350,1,80000060,02e68733,1,0,14,00000010,0,0,00000000
98,351,0,80000064,00000715,1,0,14,00000015,0,0,00000000
99,351,1,80000066,0000078a,1,0,15,0000000c,0,0,00000000
100,352,0,80000068,00f30633,1,0,12,80020080,0,0,00000000
101,353,0,8000006c,0000c218,0,0,0,00000000,0,0,00000000
102,354,0,8000006e,00004210,1,0,12,00000015,0,0,00000000
103,354,1,80000070,000095b2,1,0,11,00000038,0,0,00000000
104,355,0,80000072,00f88633,1,0,12,8002000c,0,0,00000000
105,356,0,80000076,0000621c,1,1,15,40000000,0,0,00000000
106,356,1,80000078,10c7f7d3,1,1,15,40400000,0,0,00000000
107,357,0,8000007c,d00776d3,1,1,13,41a80000,0,0,00000000
108,357,1,80000080,00d7f7d3,1,1,15,41c00000,0,0,00000000
109,359,0,80000084,000097c2,1,0,15,80020060,0,0,00000000
110,360,0,80000086,0000e39c,0,0,0,00000000,0,0,00000000
111,361,0,80000088,0000639c,1,1,15,41c00000,0,0,00000000
112,363,0,8000008a,00f77753,1,1,14,427e0000,0,0,00000000
113,363,1,8000008e,fca693e3,0,0,7,00000000,0,0,00000000
114,364,0,80000054,00269793,1,0,15,00000010,0,0,00000000
115,364,1,80000058,000097f2,1,0,15,80020030,0,0,00000000
116,365,0,8000005a,00004398,1,0,14,ffffffff,0,0,00000000
117,365,1,8000005c,000087b6,1,0,15,00000004,0,0,00000000
118,366,0,8000005e,00000685,1,0,13,00000005,0,0,00000000
119,366,1,80000060,02e68733,1,0,14,fffffffb,0,0,00000000
120,367,0,80000064,00000715,1,0,14,00000000,0,0,00000000
121,367,1,80000066,0000078a,1,0,15,00000010,0,0,00000000
122,368,0,80000068,00f30633,1,0,12,80020084,0,0,00000000
123,369,0,8000006c,0000c218,0,0,0,00000000,0,0,00000000
124,370,0,8000006e,00004210,1,0,12,00000000,0,0,00000000
125,370,1,80000070,000095b2,1,0,11,00000038,0,0,00000000
126,371,0,80000072,00f88633,1,0,12,80020010,0,0,00000000
127,372,0,80000076,0000621c,1,1,15,40200000,0,0,00000000
128,372,1,80000078,10c7f7d3,1,1,15,40700000,0,0,00000000
129,374,0,8000007c,d00776d3,1,1,13,00000000,0,0,00000000
130,374,1,80000080,00d7f7d3,1,1,15,40700000,0,0,00000000
131,375,0,80000084,000097c2,1,0,15,80020064,0,0,00000000
132,376,0,80000086,0000e39c,0,0,0,00000000,0,0,00000000
133,377,0,80000088,0000639c,1,1,15,40700000,0,0,00000000
134,378,0,8000008a,00f77753,1,1,14,42868000,0,0,00000000
135,378,1,8000008e,fca693e3,0,0,7,00000000,0,0,00000000
136,379,0,80000054,00269793,1,0,15,00000014,0,0,00000000
137,379,1,80000058,000097f2,1,0,15,80020034,0,0,00000000
138,380,0,8000005a,00004398,1,0,14,00000006,0,0,00000000
139,380,1,8000005c,000087b6,1,0,15,00000005,0,0,00000000
140,381,0,8000005e,00000685,1,0,13,00000006,0,0,00000000
141,381,1,80000060,02e68733,1,0,14,00000024,0,0,00000000
142,382,0,80000064,00000715,1,0,14,00000029,0,0,00000000
143,382,1,80000066,0000078a,1,0,15,00000014,0,0,00000000
144,383,0,80000068,00f30633,1,0,12,80020088,0,0,00000000
145,384,0,8000006c,0000c218,0,0,0,00000000,0,0,00000000
146,385,0,8000006e,00004210,1,0,12,00000029,0,0,00000000
147,385,1,80000070,000095b2,1,0,11,00000061,0,0,00000000
148,386,0,80000072,00f88633,1,0,12,80020014,0,0,00000000
149,387,0,80000076,0000621c,1,1,15,40400000,0,0,00000000
150,387,1,80000078,10c7f7d3,1,1,15,40900000,0,0,00000000
151,389,0,8000007c,d00776d3,1,1,13,42240000,0,0,00000000
152,389,1,80000080,00d7f7d3,1,1,15,42360000,0,0,00000000
153,390,0,80000084,000097c2,1,0,15,80020068,0,0,00000000
154,391,0,80000086,0000e39c,0,0,0,00000000,0,0,00000000
155,392,0,80000088,0000639c,1,1,15,42360000,0,0,00000000
156,393,0,8000008a,00f77753,1,1,14,42e18000,0,0,00000000
157,393,1,8000008e,fca693e3,0,0,7,00000000,0,0,00000000
158,394,0,80000054,00269793,1,0,15,00000018,0,0,00000000
159,394,1,80000058,000097f2,1,0,15,80020038,0,0,00000000
160,395,0,8000005a,00004398,1,0,14,00000005,0,0,00000000
161,395,1,8000005c,000087b6,1,0,15,00000006,0,0,00000000
162,396,0,8000005e,00000685,1,0,13,00000007,0,0,00000000
163,396,1,80000060,02e68733,1,0,14,00000023,0,0,00000000
164,397,0,80000064,00000715,1,0,14,00000028,0,0,00000000
165,397,1,80000066,0000078a,1,0,15,00000018,0,0,00000000
166,398,0,80000068,00f30633,1,0,12,8002008c,0,0,00000000
167,399,0,8000006c,0000c218,0,0,0,00000000,0,0,00000000
168,400,0,8000006e,00004210,1,0,12,00000028,0,0,00000000
169,400,1,80000070,000095b2,1,0,11,00000089,0,0,00000000
170,401,0,80000072,00f88633,1,0,12,80020018,0,0,00000000
171,402,0,80000076,0000621c,1,1,15,40600000,0,0,00000000
172,402,1,80000078,10c7f7d3,1,1,15,40a80000,0,0,00000000
173,403,0,8000007c,d00776d3,1,1,13,42200000,0,0,00000000
174,403,1,80000080,00d7f7d3,1,1,15,42350000,0,0,00000000
175,404,0,80000084,000097c2,1,0,15,8002006c,0,0,00000000
176,405,0,80000086,0000e39c,0,0,0,00000000,0,0,00000000
177,406,0,80000088,0000639c,1,1,15,42350000,0,0,00000000
178,407,0,8000008a,00f77753,1,1,14,431e0000,0,0,00000000
179,407,1,8000008e,fca693e3,0,0,7,00000000,0,0,00000000
180,408,0,80000054,00269793,1,0,15,0000001c,0,0,00000000
181,408,1,80000058,000097f2,1,0,15,8002003c,0,0,00000000
